Tipologia,CAP,Coordinate,Indirizzo,UPL_#,UPL_nome,Id_Quartie,Quartiere,Circoscrizione,Utenti_potenz,lat,lng,googlemaps,osm
Fontana,90135,"38.125994, 13.311662",Vicolo Seidita In Via Casamicciola,35,Passo di Rigano,17,Uditore - Passo di Rigano,V,977,38.125994,13.311662,"https://maps.google.com/?q=38.125994,13.311662",https://www.openstreetmap.org/?mlat=38.125994&mlon=13.311662&zoom=18#map=18/38.125994/13.311662
Fontanella,90123,"38.10695, 13.383327","Via Messina Marine, 50",6,Settecannoli,11,Settecannoli,II,3827,38.10695,13.383327,"https://maps.google.com/?q=38.10695,13.383327",https://www.openstreetmap.org/?mlat=38.10695&mlon=13.383327&zoom=18#map=18/38.10695/13.383327
Fontana,90134,"38.115596, 13.356896",Piazzetta Vincenzo Di Giovanni,3,Monte di Pietà  o Seralcadi,2,Palazzo Reale - Monte di Pietà,I,417,38.115596,13.356896,"https://maps.google.com/?q=38.115596,13.356896",https://www.openstreetmap.org/?mlat=38.115596&mlon=13.356896&zoom=18#map=18/38.115596/13.356896
Fontana,90134,"38.117089, 13.35538","Vicolo degli Orfani, 15",3,Monte di Pietà  o Seralcadi,2,Palazzo Reale - Monte di Pietà,I,451,38.117089,13.35538,"https://maps.google.com/?q=38.117089,13.35538",https://www.openstreetmap.org/?mlat=38.117089&mlon=13.35538&zoom=18#map=18/38.117089/13.35538
Fontanella,90125,"38.079678, 13.361753","Largo Parisi, 18",14,Chiavelli - S.Maria di Gesù,13,Villagrazia - Falsomiele,III,4505,38.079678,13.361753,"https://maps.google.com/?q=38.079678,13.361753",https://www.openstreetmap.org/?mlat=38.079678&mlon=13.361753&zoom=18#map=18/38.079678/13.361753
Fontanella,90145,"38.140232, 13.329823","Via Conceria, 32",38,Cruillas,19,Cruillas - S.Giovanni Apostolo,VI,9683,38.140232,13.329823,"https://maps.google.com/?q=38.140232,13.329823",https://www.openstreetmap.org/?mlat=38.140232&mlon=13.329823&zoom=18#map=18/38.140232/13.329823
Fontana,90136,"38.109069, 13.305624",Via Baida 106,24,Boccadifalco - Baida,16,Boccadifalco,IV,4614,38.109069,13.305624,"https://maps.google.com/?q=38.109069,13.305624",https://www.openstreetmap.org/?mlat=38.109069&mlon=13.305624&zoom=18#map=18/38.109069/13.305624
Fontanella,90147,"38.190045, 13.2863","Piazza Rossi, 1",48,Tommaso Natale - Sant'Ambrogio - Cardillo,21,Tommaso Natale - Sferracavallo,VII,545,38.190045,13.2863,"https://maps.google.com/?q=38.190045,13.2863",https://www.openstreetmap.org/?mlat=38.190045&mlon=13.2863&zoom=18#map=18/38.190045/13.2863
Fontana,90124,"38.103486, 13.370337",Fondo Napolitano,10,Oreto Perez,3,Oreto - Stazione,III,4191,38.103486,13.370337,"https://maps.google.com/?q=38.103486,13.370337",https://www.openstreetmap.org/?mlat=38.103486&mlon=13.370337&zoom=18#map=18/38.103486/13.370337
Fontanella,90123,"38.114806, 13.378209",Villa a Mare,5,Corso dei Mille - S.Erasmo,3,Oreto - Stazione,II,4152,38.114806,13.378209,"https://maps.google.com/?q=38.114806,13.378209",https://www.openstreetmap.org/?mlat=38.114806&mlon=13.378209&zoom=18#map=18/38.114806/13.378209
Fontana,90142,"38.148121, 13.357784",Piazza Gen. Cascino,52,Montepellegrino,24,Montepellegrino,VIII,4304,38.148121,13.357784,"https://maps.google.com/?q=38.148121,13.357784",https://www.openstreetmap.org/?mlat=38.148121&mlon=13.357784&zoom=18#map=18/38.148121/13.357784
Fontanella,90138,"38.119865, 13.355500","Via Volturno, 2",3,Monte di Pietà  o Seralcadi,2,Palazzo Reale - Monte di Pietà,I,5749,38.119865,13.3555,"https://maps.google.com/?q=38.119865,13.3555",https://www.openstreetmap.org/?mlat=38.119865&mlon=13.3555&zoom=18#map=18/38.119865/13.3555
Fontanella,90147,"38.197942, 13.276838","Piazza Sferracavallo, 8",49,Sferracavallo,21,Tommaso Natale - Sferracavallo,VII,44,38.197942,13.276838,"https://maps.google.com/?q=38.197942,13.276838",https://www.openstreetmap.org/?mlat=38.197942&mlon=13.276838&zoom=18#map=18/38.197942/13.276838
Fontanella,90147,"38.188327, 13.289097","Piazza Mandorle, 10",48,Tommaso Natale - Sant'Ambrogio - Cardillo,21,Tommaso Natale - Sferracavallo,VII,3585,38.188327,13.289097,"https://maps.google.com/?q=38.188327,13.289097",https://www.openstreetmap.org/?mlat=38.188327&mlon=13.289097&zoom=18#map=18/38.188327/13.289097
Fontanella,90147,"38.187864, 13.286906","Via Di Benedetto, 19",48,Tommaso Natale - Sant'Ambrogio - Cardillo,21,Tommaso Natale - Sferracavallo,VII,15073,38.187864,13.286906,"https://maps.google.com/?q=38.187864,13.286906",https://www.openstreetmap.org/?mlat=38.187864&mlon=13.286906&zoom=18#map=18/38.187864/13.286906
Fontanella,90136,"38.109259, 13.308583","Piazza Pietro Micca, 18",24,Boccadifalco - Baida,16,Boccadifalco,IV,409,38.109259,13.308583,"https://maps.google.com/?q=38.109259,13.308583",https://www.openstreetmap.org/?mlat=38.109259&mlon=13.308583&zoom=18#map=18/38.109259/13.308583
Fontanella,90136,"38.108181, 13.308868","Via Umberto Maddalena, 232",24,Boccadifalco - Baida,16,Boccadifalco,IV,19,38.108181,13.308868,"https://maps.google.com/?q=38.108181,13.308868",https://www.openstreetmap.org/?mlat=38.108181&mlon=13.308868&zoom=18#map=18/38.108181/13.308868
Fontanella,90151,"38.195186, 13.312224","Via Asilo Infantile, 1",50,Partanna Mondello,22,Partanna Mondello,VII,1255,38.195186,13.312224,"https://maps.google.com/?q=38.195186,13.312224",https://www.openstreetmap.org/?mlat=38.195186&mlon=13.312224&zoom=18#map=18/38.195186/13.312224
Fontanella,90135,"38.113467, 13.33033","Via Portello ,14",22,Zisa - 4 Camere,6,Zisa,V,11085,38.113467,13.33033,"https://maps.google.com/?q=38.113467,13.33033",https://www.openstreetmap.org/?mlat=38.113467&mlon=13.33033&zoom=18#map=18/38.113467/13.33033
Fontanella,90135,"38.110867, 13.324978","Via Madonna del Soccorso, 41 A",23,Altarello - Tasca Lanza,15,Altarello,IV,3539,38.110867,13.324978,"https://maps.google.com/?q=38.110867,13.324978",https://www.openstreetmap.org/?mlat=38.110867&mlon=13.324978&zoom=18#map=18/38.110867/13.324978
Fontanella,90151,"38.20721, 13.326597","Piazza Mondello, 1",50,Partanna Mondello,22,Partanna Mondello,VII,2437,38.20721,13.326597,"https://maps.google.com/?q=38.20721,13.326597",https://www.openstreetmap.org/?mlat=38.20721&mlon=13.326597&zoom=18#map=18/38.20721/13.326597
Fontanella,90136,"38.10846, 13.305472","Via Baida, 21 Cod Servizio 177024",24,Boccadifalco - Baida,16,Boccadifalco,IV,4783,38.10846,13.305472,"https://maps.google.com/?q=38.10846,13.305472",https://www.openstreetmap.org/?mlat=38.10846&mlon=13.305472&zoom=18#map=18/38.10846/13.305472
Fontanella,90147,"38.199366, 13.277711","Via Barcaioli, 44",49,Sferracavallo,21,Tommaso Natale - Sferracavallo,VII,97,38.199366,13.277711,"https://maps.google.com/?q=38.199366,13.277711",https://www.openstreetmap.org/?mlat=38.199366&mlon=13.277711&zoom=18#map=18/38.199366/13.277711
Fontanella,90136,"38.107688, 13.3092","Via Umberto Maddalena, 113",24,Boccadifalco - Baida,16,Boccadifalco,IV,40,38.107688,13.3092,"https://maps.google.com/?q=38.107688,13.3092",https://www.openstreetmap.org/?mlat=38.107688&mlon=13.3092&zoom=18#map=18/38.107688/13.3092
Fontanella,90136,"38.106864, 13.309612","Via Umberto Maddalena, 103",24,Boccadifalco - Baida,16,Boccadifalco,IV,1355,38.106864,13.309612,"https://maps.google.com/?q=38.106864,13.309612",https://www.openstreetmap.org/?mlat=38.106864&mlon=13.309612&zoom=18#map=18/38.106864/13.309612
Fontanella,90131,"38.093992, 13.307838","Corso Calatafimi,1157",20,Mezzomonreale,14,Mezzomonreale - Villa Tasca,IV,12979,38.093992,13.307838,"https://maps.google.com/?q=38.093992,13.307838",https://www.openstreetmap.org/?mlat=38.093992&mlon=13.307838&zoom=18#map=18/38.093992/13.307838
Fontanella,90135,"38.109835, 13.323331","Via Altarello, 76",23,Altarello - Tasca Lanza,15,Altarello,IV,1024,38.109835,13.323331,"https://maps.google.com/?q=38.109835,13.323331",https://www.openstreetmap.org/?mlat=38.109835&mlon=13.323331&zoom=18#map=18/38.109835/13.323331
Fontanella,90147,"38.19924, 13.276028","Via Amorello, 1",49,Sferracavallo,21,Tommaso Natale - Sferracavallo,VII,66,38.19924,13.276028,"https://maps.google.com/?q=38.19924,13.276028",https://www.openstreetmap.org/?mlat=38.19924&mlon=13.276028&zoom=18#map=18/38.19924/13.276028
Fontanella,90147,"38.198393, 13.276254",Piazza Ss. Cosima E Damiano,49,Sferracavallo,21,Tommaso Natale - Sferracavallo,VII,17,38.198393,13.276254,"https://maps.google.com/?q=38.198393,13.276254",https://www.openstreetmap.org/?mlat=38.198393&mlon=13.276254&zoom=18#map=18/38.198393/13.276254
Fontanella,90147,"38.198261, 13.274645",Piazza Marina Di Sferracavallo,49,Sferracavallo,21,Tommaso Natale - Sferracavallo,VII,764,38.198261,13.274645,"https://maps.google.com/?q=38.198261,13.274645",https://www.openstreetmap.org/?mlat=38.198261&mlon=13.274645&zoom=18#map=18/38.198261/13.274645
Fontanella,90147,"38.196957, 13.277935","Via Sferracavallo, 198",49,Sferracavallo,21,Tommaso Natale - Sferracavallo,VII,1243,38.196957,13.277935,"https://maps.google.com/?q=38.196957,13.277935",https://www.openstreetmap.org/?mlat=38.196957&mlon=13.277935&zoom=18#map=18/38.196957/13.277935
Fontanella,90147,"38.197802, 13.275186",Piazzetta Baglicello,49,Sferracavallo,21,Tommaso Natale - Sferracavallo,VII,932,38.197802,13.275186,"https://maps.google.com/?q=38.197802,13.275186",https://www.openstreetmap.org/?mlat=38.197802&mlon=13.275186&zoom=18#map=18/38.197802/13.275186
Fontanella,90146,"38.147962, 13.315455","Via Trabucco, 67",38,Cruillas,19,Cruillas - S.Giovanni Apostolo,VI,15569,38.147962,13.315455,"https://maps.google.com/?q=38.147962,13.315455",https://www.openstreetmap.org/?mlat=38.147962&mlon=13.315455&zoom=18#map=18/38.147962/13.315455
Fontanella,90151,"38.198016, 13.316556","Via Carbone, 67",50,Partanna Mondello,22,Partanna Mondello,VII,111,38.198016,13.316556,"https://maps.google.com/?q=38.198016,13.316556",https://www.openstreetmap.org/?mlat=38.198016&mlon=13.316556&zoom=18#map=18/38.198016/13.316556
Fontanella,90129,"38.109323, 13.345939","Corso Calatafimi, 217",18,Cuba - Calatafimi,5,Cuba - Calatafimi,IV,4572,38.109323,13.345939,"https://maps.google.com/?q=38.109323,13.345939",https://www.openstreetmap.org/?mlat=38.109323&mlon=13.345939&zoom=18#map=18/38.109323/13.345939
Fontanella,90129,"38.101296, 13.338787",Piazza Generale Turba,18,Cuba - Calatafimi,5,Cuba - Calatafimi,IV,12057,38.101296,13.338787,"https://maps.google.com/?q=38.101296,13.338787",https://www.openstreetmap.org/?mlat=38.101296&mlon=13.338787&zoom=18#map=18/38.101296/13.338787
Fontanella,90142,"38.165183, 13.367454","Via Morici,1 A",55,Vergine Maria,25,Arenella - Vergine Maria,VII,2661,38.165183,13.367454,"https://maps.google.com/?q=38.165183,13.367454",https://www.openstreetmap.org/?mlat=38.165183&mlon=13.367454&zoom=18#map=18/38.165183/13.367454
