fid,tp_id,n,lng,lat,Tipologia,Coordinate,Indirizzo,UPL,UPL_nome,Quartiere,Circoscrizione,Id_Quartie,CAP,indizizzo_link
61,tp_061,61,13.3555,38.119865,Fontana,"38.119865, 13.355500","Via Volturno, 2",3,Monte di Pietà  o Seralcadi,Palazzo Reale - Monte di Pietà,I,2,90138,"<a href=""https://maps.google.com/?q=38.119865,13.3555"" title=""Via Volturno, 2"">Via Volturno, 2</a>"
62,tp_062,62,13.276838,38.197942,Fontanella,"38.197942, 13.276838","Piazza Sferracavallo, 8",49,Sferracavallo,Tommaso Natale - Sferracavallo,VII,21,90147,"<a href=""https://maps.google.com/?q=38.197942,13.276838"" title=""Piazza Sferracavallo, 8"">Piazza Sferracavallo, 8</a>"
63,tp_063,63,13.289097,38.188327,Fontanella,"38.188327, 13.289097","Piazza Mandorle, 10",48,Tommaso Natale - Sant'Ambrogio - Cardillo,Tommaso Natale - Sferracavallo,VII,21,90147,"<a href=""https://maps.google.com/?q=38.188327,13.289097"" title=""Piazza Mandorle, 10"">Piazza Mandorle, 10</a>"
64,tp_064,64,13.286906,38.187864,Fontanella,"38.187864, 13.286906","Via Di Benedetto, 19",48,Tommaso Natale - Sant'Ambrogio - Cardillo,Tommaso Natale - Sferracavallo,VII,21,90147,"<a href=""https://maps.google.com/?q=38.187864,13.286906"" title=""Via Di Benedetto, 19"">Via Di Benedetto, 19</a>"
65,tp_065,65,13.308583,38.109259,Fontanella,"38.109259, 13.308583","Piazza Pietro Micca, 18",24,Boccadifalco - Baida,Boccadifalco,IV,16,90136,"<a href=""https://maps.google.com/?q=38.109259,13.308583"" title=""Piazza Pietro Micca, 18"">Piazza Pietro Micca, 18</a>"
66,tp_066,66,13.308868,38.108181,Fontanella,"38.108181, 13.308868","Via Umberto Maddalena, 232",24,Boccadifalco - Baida,Boccadifalco,IV,16,90136,"<a href=""https://maps.google.com/?q=38.108181,13.308868"" title=""Via Umberto Maddalena, 232"">Via Umberto Maddalena, 232</a>"
67,tp_067,67,13.312224,38.195186,Fontanella,"38.195186, 13.312224","Via Asilo Infantile, 1",50,Partanna Mondello,Partanna Mondello,VII,22,90151,"<a href=""https://maps.google.com/?q=38.195186,13.312224"" title=""Via Asilo Infantile, 1"">Via Asilo Infantile, 1</a>"
68,tp_068,68,13.33033,38.113467,Fontanella,"38.113467, 13.33033","Via Portello ,14",22,Zisa - 4 Camere,Zisa,V,6,90135,"<a href=""https://maps.google.com/?q=38.113467,13.33033"" title=""Via Portello ,14"">Via Portello ,14</a>"
69,tp_069,69,13.324978,38.110867,Fontanella,"38.110867, 13.324978","Via Madonna del Soccorso, 41 A",23,Altarello - Tasca Lanza,Altarello,IV,15,90135,"<a href=""https://maps.google.com/?q=38.110867,13.324978"" title=""Via Madonna del Soccorso, 41 A"">Via Madonna del Soccorso, 41 A</a>"
70,tp_070,70,13.326597,38.20721,Fontanella,"38.20721, 13.326597","Piazza Mondello, 1",50,Partanna Mondello,Partanna Mondello,VII,22,90151,"<a href=""https://maps.google.com/?q=38.20721,13.326597"" title=""Piazza Mondello, 1"">Piazza Mondello, 1</a>"
71,tp_071,71,13.305472,38.10846,Fontanella,"38.10846, 13.305472","Via Baida, 21 Cod Servizio 177024",24,Boccadifalco - Baida,Boccadifalco,IV,16,90136,"<a href=""https://maps.google.com/?q=38.10846,13.305472"" title=""Via Baida, 21 Cod Servizio 177024"">Via Baida, 21 Cod Servizio 177024</a>"
72,tp_072,72,13.277711,38.199366,Fontanella,"38.199366, 13.277711","Via Barcaioli, 44",49,Sferracavallo,Tommaso Natale - Sferracavallo,VII,21,90147,"<a href=""https://maps.google.com/?q=38.199366,13.277711"" title=""Via Barcaioli, 44"">Via Barcaioli, 44</a>"
73,tp_073,73,13.3092,38.107688,Fontanella,"38.107688, 13.3092","Via Umberto Maddalena, 113",24,Boccadifalco - Baida,Boccadifalco,IV,16,90136,"<a href=""https://maps.google.com/?q=38.107688,13.3092"" title=""Via Umberto Maddalena, 113"">Via Umberto Maddalena, 113</a>"
74,tp_074,74,13.309612,38.106864,Fontanella,"38.106864, 13.309612","Via Umberto Maddalena, 103",24,Boccadifalco - Baida,Boccadifalco,IV,16,90136,"<a href=""https://maps.google.com/?q=38.106864,13.309612"" title=""Via Umberto Maddalena, 103"">Via Umberto Maddalena, 103</a>"
75,tp_075,75,13.307838,38.093992,Fontanella,"38.093992, 13.307838","Corso Calatafimi,1157",20,Mezzomonreale,Mezzomonreale - Villa Tasca,IV,14,90131,"<a href=""https://maps.google.com/?q=38.093992,13.307838"" title=""Corso Calatafimi,1157"">Corso Calatafimi,1157</a>"
76,tp_076,76,13.323331,38.109835,Fontanella,"38.109835, 13.323331","Via Altarello, 76",23,Altarello - Tasca Lanza,Altarello,IV,15,90135,"<a href=""https://maps.google.com/?q=38.109835,13.323331"" title=""Via Altarello, 76"">Via Altarello, 76</a>"
77,tp_077,77,13.276028,38.19924,Fontanella,"38.19924, 13.276028","Via Amorello, 1",49,Sferracavallo,Tommaso Natale - Sferracavallo,VII,21,90147,"<a href=""https://maps.google.com/?q=38.19924,13.276028"" title=""Via Amorello, 1"">Via Amorello, 1</a>"
78,tp_078,78,13.276254,38.198393,Fontanella,"38.198393, 13.276254",Piazza Ss. Cosima E Damiano,49,Sferracavallo,Tommaso Natale - Sferracavallo,VII,21,90147,"<a href=""https://maps.google.com/?q=38.198393,13.276254"" title=""Piazza Ss. Cosima E Damiano"">Piazza Ss. Cosima E Damiano</a>"
79,tp_079,79,13.274645,38.198261,Fontanella,"38.198261, 13.274645",Piazza Marina Di Sferracavallo,49,Sferracavallo,Tommaso Natale - Sferracavallo,VII,21,90147,"<a href=""https://maps.google.com/?q=38.198261,13.274645"" title=""Piazza Marina Di Sferracavallo"">Piazza Marina Di Sferracavallo</a>"
80,tp_080,80,13.277935,38.196957,Fontanella,"38.196957, 13.277935","Via Sferracavallo, 198",49,Sferracavallo,Tommaso Natale - Sferracavallo,VII,21,90147,"<a href=""https://maps.google.com/?q=38.196957,13.277935"" title=""Via Sferracavallo, 198"">Via Sferracavallo, 198</a>"
