id,id_1,n,Nome,Indirizzo,Coordinate,X,Y,maps,osm
tp_068,068,68,FONTANELLA,"VIA PORTELLO ,14","38.113467, 13.33033",13.33033,38.113467,"https://maps.google.com/?q=38.113467,13.33033",https://www.openstreetmap.org/?mlat=38.113467&mlon=13.33033&zoom=18#map=18/38.113467/13.33033
tp_069,069,69,FONTANELLA,"VIA MADONNADEL SOCCORSO, 41 A","38.110867, 13.324978",13.324978,38.110867,"https://maps.google.com/?q=38.110867,13.324978",https://www.openstreetmap.org/?mlat=38.110867&mlon=13.324978&zoom=18#map=18/38.110867/13.324978
tp_070,070,70,FONTANELLA,"PIAZZA MONDELLO, 1","38.20721, 13.326597",13.326597,38.20721,"https://maps.google.com/?q=38.20721,13.326597",https://www.openstreetmap.org/?mlat=38.20721&mlon=13.326597&zoom=18#map=18/38.20721/13.326597
tp_071,071,71,FONTANELLA,"VIA BAIDA, 21 COD SERVIZIO 177024","38.10846, 13.305472",13.305472,38.10846,"https://maps.google.com/?q=38.10846,13.305472",https://www.openstreetmap.org/?mlat=38.10846&mlon=13.305472&zoom=18#map=18/38.10846/13.305472
tp_072,072,72,FONTANELLA,"VIA BARCAIOLI, 44","38.199366, 13.277711",13.277711,38.199366,"https://maps.google.com/?q=38.199366,13.277711",https://www.openstreetmap.org/?mlat=38.199366&mlon=13.277711&zoom=18#map=18/38.199366/13.277711
tp_073,073,73,FONTANELLA,"VIA UMBERTO MADDALENA, 113","38.107688, 13.3092",13.3092,38.107688,"https://maps.google.com/?q=38.107688,13.3092",https://www.openstreetmap.org/?mlat=38.107688&mlon=13.3092&zoom=18#map=18/38.107688/13.3092
tp_074,074,74,FONTANELLA,"VIA UMBERTO MADDALENA, 103","38.106864, 13.309612",13.309612,38.106864,"https://maps.google.com/?q=38.106864,13.309612",https://www.openstreetmap.org/?mlat=38.106864&mlon=13.309612&zoom=18#map=18/38.106864/13.309612
tp_075,075,75,FONTANELLA,"CORSO CALATAFIMI,1157","38.093992, 13.307838",13.307838,38.093992,"https://maps.google.com/?q=38.093992,13.307838",https://www.openstreetmap.org/?mlat=38.093992&mlon=13.307838&zoom=18#map=18/38.093992/13.307838
tp_076,076,76,FONTANELLA,"VIA ALTARELLO, 76","38.109835, 13.323331",13.323331,38.109835,"https://maps.google.com/?q=38.109835,13.323331",https://www.openstreetmap.org/?mlat=38.109835&mlon=13.323331&zoom=18#map=18/38.109835/13.323331
tp_077,077,77,FONTANELLA,"VIA AMORELLO, 1","38.19924, 13.276028",13.276028,38.19924,"https://maps.google.com/?q=38.19924,13.276028",https://www.openstreetmap.org/?mlat=38.19924&mlon=13.276028&zoom=18#map=18/38.19924/13.276028
tp_078,078,78,FONTANELLA,PIAZZA SS. COSIMA E DAMIANO,"38.198393, 13.276254",13.276254,38.198393,"https://maps.google.com/?q=38.198393,13.276254",https://www.openstreetmap.org/?mlat=38.198393&mlon=13.276254&zoom=18#map=18/38.198393/13.276254
tp_079,079,79,FONTANELLA,PIAZZA MARINA DI SFERRACAVALLO,"38.198261, 13.274645",13.274645,38.198261,"https://maps.google.com/?q=38.198261,13.274645",https://www.openstreetmap.org/?mlat=38.198261&mlon=13.274645&zoom=18#map=18/38.198261/13.274645
tp_080,080,80,FONTANELLA,"VIA SFERRACAVALLO, 198","38.196957, 13.277935",13.277935,38.196957,"https://maps.google.com/?q=38.196957,13.277935",https://www.openstreetmap.org/?mlat=38.196957&mlon=13.277935&zoom=18#map=18/38.196957/13.277935
tp_081,081,81,FONTANELLA,PIAZZETTA BAGLICELLO,"38.197802, 13.275186",13.275186,38.197802,"https://maps.google.com/?q=38.197802,13.275186",https://www.openstreetmap.org/?mlat=38.197802&mlon=13.275186&zoom=18#map=18/38.197802/13.275186
tp_082,082,82,FONTANELLA,"VIA TRABUCCO, 67","38.147962, 13.315455",13.315455,38.147962,"https://maps.google.com/?q=38.147962,13.315455",https://www.openstreetmap.org/?mlat=38.147962&mlon=13.315455&zoom=18#map=18/38.147962/13.315455
tp_083,083,83,FONTANELLA,"VIA CARBONE, 67","38.198016, 13.316556",13.316556,38.198016,"https://maps.google.com/?q=38.198016,13.316556",https://www.openstreetmap.org/?mlat=38.198016&mlon=13.316556&zoom=18#map=18/38.198016/13.316556
tp_084,084,84,FONTANELLA,"CORSO CALATAFIMI, 217","38.109323, 13.345939",13.345939,38.109323,"https://maps.google.com/?q=38.109323,13.345939",https://www.openstreetmap.org/?mlat=38.109323&mlon=13.345939&zoom=18#map=18/38.109323/13.345939
tp_085,085,85,FONTANELLA,PIAZZA GENERALE TURBA,"38.101296, 13.338787",13.338787,38.101296,"https://maps.google.com/?q=38.101296,13.338787",https://www.openstreetmap.org/?mlat=38.101296&mlon=13.338787&zoom=18#map=18/38.101296/13.338787
tp_086,086,86,FONTANELLA,"VIA MORICI,1 A","38.165183, 13.367454",13.367454,38.165183,"https://maps.google.com/?q=38.165183,13.367454",https://www.openstreetmap.org/?mlat=38.165183&mlon=13.367454&zoom=18#map=18/38.165183/13.367454
